treatment,binary ID,Lp,Lb,Ap,At,Ao
1,10000,Y,N,N,N,N
2,01000,N,Y,N,N,N
3,00100,N,N,Y,N,N
4,00010,N,N,N,Y,N
5,00001,N,N,N,N,Y
6,11000,Y,Y,N,N,N
7,10100,Y,N,Y,N,N
8,10010,Y,N,N,Y,N
9,10001,Y,N,N,N,Y
10,01100,N,Y,Y,N,N
11,01010,N,Y,N,Y,N
12,01001,N,Y,N,N,Y
13,00110,N,N,Y,Y,N
14,00101,N,N,Y,N,Y
15,00011,N,N,N,Y,Y
16,11100,Y,Y,Y,N,N
17,11010,Y,Y,N,Y,N
18,11001,Y,Y,N,N,Y
19,10110,Y,N,Y,Y,N
20,10101,Y,N,Y,N,Y
21,10011,Y,N,N,Y,Y
22,01110,N,Y,Y,Y,N
23,01101,N,Y,Y,N,Y
24,01011,N,Y,N,Y,Y
25,00111,N,N,Y,Y,Y
26,11110,Y,Y,Y,Y,N
27,11101,Y,Y,Y,N,Y
28,11011,Y,Y,N,Y,Y
29,10111,Y,N,Y,Y,Y
30,01111,N,Y,Y,Y,Y
31,11111,Y,Y,Y,Y,Y
32,00000,N,N,N,N,N
