"well","plate","replc","comp","c.len","abs.m","abs.sd","C","E","M","P","S","T","sd.C","sd.E","sd.M","sd.P","sd.S","sd.T","Vj.fit","se"
"A01","A","1","C",1,0.059525,0.00270185121722126,2525000,NA,NA,NA,NA,NA,1013039.97987394,NA,NA,NA,NA,NA,0,0
"A01","A","2","C",1,0.099175,0.00114017542509914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"A02","A","1","C-E",2,0.373925,0.0429243520626695,15125000,1750000,NA,NA,NA,NA,7988272.65338241,661437.83,NA,NA,NA,NA,0.497554983536475,0.119851363359158
"A02","A","2","C-E",2,0.311375,0.0415668136859202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.497554983536475,0.119851363359158
"A02","B","1","C-E-M-S-T",5,0.201125,0.0390089733266591,6e+05,130000,6e+05,NA,2200000,3e+06,346410.16,202977.831958666,346410.16,NA,663324.96,774596.67,11.4200196172765,1.37613338967917
"A02","B","2","C-E-M-S-T",5,0.211175,0.0128957357293022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4200196172765,1.37613338967917
"A06","A","1","C-M-T",3,0.084925,0.00972111104761179,640000,NA,760000,NA,NA,180000,113137.08,NA,123288.28,NA,NA,60000,8.6104250912212,0.425151289627449
"A06","A","2","C-M-T",3,0.084975,0.00294957624075053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6104250912212,0.425151289627449
"A07","A","1","E-M-T",3,0.121925,0.0172626765016321,NA,2e+05,2e+05,NA,NA,8600000,NA,2e+05,2e+05,NA,NA,1311487.7,11.0952246070071,0.648320257144992
"A07","A","2","E-M-T",3,0.140575,0.00779102047231299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0952246070071,0.648320257144992
"A11","A","1","E-M-S-T",4,0.201525,0.0184743064822472,NA,0,6e+06,NA,1e+07,2e+07,NA,0,1095445.12,NA,1414213.56,2e+06,12.0912562032296,0.701662249539412
"A11","A","2","E-M-S-T",4,0.218775,0.0229237867726953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0912562032296,0.701662249539412
"B01","A","1","E",1,0.233725,0.0170205757834452,NA,20750000,NA,NA,NA,NA,NA,7053367.99105938,NA,NA,NA,NA,0,0
"B01","A","2","E",1,0.193375,0.0116533257055658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"B02","B","1","C-E-P-S-T",5,0.331325,0.0230499457700013,4e+05,4e+05,NA,9200000,46400000,6e+05,282842.71,282842.71,NA,1356466,3046309.24,346410.16,32.1527187532521,0.438920478443325
"B02","B","2","C-E-P-S-T",5,0.261775,0.0139104277432436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1527187532521,0.438920478443325
"B03","A","1","E-M",2,0.105925,0.00799999999999999,NA,0,18125000,NA,NA,NA,NA,0,7352720.58393427,NA,NA,NA,1.52770306248583,0.0926138611235951
"B03","A","2","E-M",2,0.087575,0.00216794833886788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52770306248583,0.0926138611235951
"B05","A","1","C-E-M",3,0.266725,0.0299115362360411,6166666.67,666666.67,2.5e+07,NA,NA,NA,1013793.76,333333.33,2041241.45,NA,NA,NA,0.528316968781174,0.0911117039040756
"B05","A","2","C-E-M",3,0.175775,0.0301662062579967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528316968781174,0.0911117039040756
"B06","A","1","C-P-T",3,0.105925,0.00570087712549569,1166666.67,NA,NA,1666666.67,NA,5166666.67,440958.55,NA,NA,527046.28,NA,927960.73,9.43112037315223,0.562484222580545
